2026-00001 | Okello Allan | Male | Computer Science and Engineering | okello_allan@vu.ac.ug
2026-00002 | Okello Allan | Male | Computer Science and Engineering | okello_allan@vu.ac.ug
2026-00003 | Okello Allan | Male | Computer Science and Engineering | okello_allan@vu.ac.ug
2026-00004 | Okello Allan | Male | Computer Science and Engineering | okello_allan@vu.ac.ug
2026-00005 | Okello Allan | Male | Computer Science and Engineering | okello_allan@vu.ac.ug
2026-00006 | Okello Allan | Male | Computer Science and Engineering | okello_allan@vu.ac.ug
2026-00007 | Okello Allan | Male | Computer Science and Engineering | okello_allan@vu.ac.ug
2026-00008 | Okello Allan | Male | Computer Science and Engineering | okello_allan@vu.ac.ug
2026-00009 | Okello Allan | Male | Computer Science and Engineering | okello_allan@vu.ac.ug
2026-00010 | Okello Allan | Male | Computer Science and Engineering | okello_allan@vu.ac.ug
2026-00011 | Okello Allan | Male | Computer Science and Engineering | okello_allan@vu.ac.ug
2026-00012 | Okello Allan | Male | Computer Science and Engineering | okello_allan@vu.ac.ug
2026-00013 | Okello Allan | Male | Computer Science and Engineering | okello_allan@vu.ac.ug
2026-00014 | Okello Allan | Male | Computer Science and Engineering | okello_allan@vu.ac.ug
2026-00015 | akello akello | Male | Computer Science and Engineering | akello@gmail.com
2026-00016 | akello akelo | Male | Civil | ak@gmail.com
2026-00017 | akello akelo | Male | Computer Science and Engineering | aa@gmail.com
